Iniciando Chrome para ambiente GitHub Actions...
Configurações do Chrome:
  Headless: Sim
  User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) ...
  Window size: 1920x1080
Iniciando novo processo do Chrome...
Chrome iniciado com sucesso. Sessão ID: 73b7adf7a2005618e11b20aec079e686
Navegando para o site da Livelo...
Tentativa 1/5: Acessando URL...
Aguardando carregamento básico da página...
Aguardando 10 segundos para carregamento completo...
Verificando elementos principais...
Tentando XPath: /html/body/div[4]/main/div[1]/div[37]/div/div/div[2]/section/div[2]/div[3]/div[1]
✓ Encontrados 1 elementos com XPath: /html/body/div[4]/main/div[1]/div[37]/div/div/div[2]/section/div[2]/div[3]/div[1]
Rolando a página para carregar todos os elementos...
Altura da página: 33588px
Rolando para posição: 400px
Rolando para posição: 800px
Rolando para posição: 1200px
Rolando para posição: 1600px
Rolando para posição: 2000px
Rolando para posição: 2400px
Rolando para posição: 2800px
Rolando para posição: 3200px
Rolando para posição: 3600px
Rolando para posição: 4000px
Rolando até o final da página
Rolando de volta para o topo
Verificando elementos após rolagem...
✓ Encontrados 1 elementos com XPath: /html/body/div[4]/main/div[1]/div[37]/div/div/div[2]/section/div[2]/div[3]/div[1] após rolagem
Página carregada com sucesso!
Iniciando extração de dados...
Iniciando extração de dados por XPath...
Extraído 1: ABC da Construcao | Sim | R$ | Valor: 1.0 | Pontos: 12
Extraído 20: Basicamente | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 21: Basico.com | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 22: Beach Park Hospedagens | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 23: Beach Park Ingressos | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 24: Beep | Sim | R$ | Valor: 1.0 | Pontos: 9
Extraído 25: Beleza na web | Sim | R$ | Valor: 1.0 | Pontos: 8
Extraído 26: Beleza na Web PRO | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 27: Beto Carrero World | Sim | R$ | Valor: 1.0 | Pontos: 4
Extraído 28: Beyoung | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 29: Bibi | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 30: BO.BO | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 31: Bobstore | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 32: Bombay Herbs & Spices | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 33: Bonjour Lingerie | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 34: Booking.com | Não | U$ | Valor: 1.0 | Pontos: 4
Extraído 35: Bradesco Capitalizacao | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 36: Buddha Spa | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 37: Budget | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 38: Bulbe Energia | Não | R$ | Valor: 1.0 | Pontos: 12
Extraído 39: Buser | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 40: Buzios Beach Resort | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 41: Cabana Magazine | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 42: Cadence | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 43: Cafe Orfeu | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 44: Cafe Utam | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 45: Caffeine Army | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 46: Cambio Online | Não | R$ | Valor: 5.0 | Pontos: 1
Extraído 47: Camicado | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 48: CARE Natural Beauty | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 49: Carrefour Mercado | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 50: Carrefour Shopping | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 51: Casa MinD | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 52: Casas Bahia | Sim | R$ | Valor: 1.0 | Pontos: 5
Extraído 53: CEA | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 54: Centauro | Sim | R$ | Valor: 1.0 | Pontos: 4
Extraído 55: Cervejabox | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 56: Cestas Michelli | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 57: Ciclic Seguros – Bike | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 58: Ciclic Seguros – Celular | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 59: Ciclic Seguros – Viagem | Sim | R$ | Valor: 1.0 | Pontos: 18
Extraído 60: Claro | Não | R$ | Valor: 1.0 | Pontos: 6
Extraído 61: ClickBus | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 62: Coffee Mais | Sim | R$ | Valor: 1.0 | Pontos: 9
Extraído 63: Colcci | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 64: Coliseu | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 65: Consorcio Magalu | Sim | R$ | Valor: 1.0 | Pontos: 35
Extraído 66: Cook Eletroraro | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 67: Coris | Sim | R$ | Valor: 1.0 | Pontos: 10
Extraído 68: Creditas | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 69: Crocs | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 70: Cruzeiros Agaxtur | Sim | R$ | Valor: 1.0 | Pontos: 3
Extraído 71: Dafiti | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 72: Dako | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 73: Darkness | Sim | R$ | Valor: 1.0 | Pontos: 5
Extraído 74: Decathlon | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 75: Decolar | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 76: Democrata | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 77: Divvino | Sim | R$ | Valor: 1.0 | Pontos: 3
Extraído 78: DPaschoal | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 79: Dr Jones | Sim | R$ | Valor: 1.0 | Pontos: 8
Extraído 80: Drogaria Sao Paulo | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 81: Drogarias Pacheco | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 82: Dudalina | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 83: Easy Live | Sim | R$ | Valor: 1.0 | Pontos: 15
Extraído 84: EDP | Não | R$ | Valor: 1.0 | Pontos: 6
Extraído 85: elbo | Sim | R$ | Valor: 1.0 | Pontos: 9
Extraído 86: Ellus | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 87: Epoca cosmesticos | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 88: eSim Travelex | Não | U$ | Valor: 1.0 | Pontos: 20
Extraído 89: Estoque | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 90: Eudora | Sim | R$ | Valor: 1.0 | Pontos: 10
Extraído 91: Euro | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 92: Extra | Sim | R$ | Valor: 1.0 | Pontos: 5
Extraído 93: Faber-Castell | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 94: Farmacias App | Não | R$ | Valor: 1.0 | Pontos: 6
Extraído 95: Fast Shop | Sim | R$ | Valor: 1.0 | Pontos: 5
Extraído 96: Fila | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 97: Flormel | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 98: Foco | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 99: Forever Liss | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 100: Fossil | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 101: Frigelar  | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 102: Gazin | Sim | R$ | Valor: 1.0 | Pontos: 3
Extraído 103: Giuliana Flores | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 104: Go case | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 105: Granado | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 106: Grupo Dreams | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 107: Guess  | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 108: Guldi | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 109: Havaianas | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 110: Hering | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 111: Hering Outlet | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 112: HERO SEGUROS | Sim | R$ | Valor: 1.0 | Pontos: 18
Extraído 113: Hertz Internacional | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 114: Home Angels | Não | R$ | Valor: 10.0 | Pontos: 1
Extraído 115: Hope | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 116: Hope Resort | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 117: Hopper Nutrition | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 118: Horas Magicas | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 119: Hot Beach | Sim | R$ | Valor: 1.0 | Pontos: 5
Extraído 120: Hoteis Deville | Não | R$ | Valor: 3.0 | Pontos: 1
Extraído 121: Hoteis Windsor | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 122: Hoteis.com | Sim | R$ | Valor: 1.0 | Pontos: 4
Extraído 123: Hotel Gran Marquise | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 124: Hotel Nacional | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 125: Imaginarium | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 126: Imperio | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 127: Individual | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 128: Infinix | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 129: Insider Store | Sim | R$ | Valor: 1.0 | Pontos: 12
Extraído 130: IntegralMedica | Sim | R$ | Valor: 1.0 | Pontos: 5
Extraído 131: John John | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 132: Julio Okubo | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 133: Kaligo | Não | U$ | Valor: 1.0 | Pontos: 15
Extraído 134: Key Design | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 135: Klabin ForYou | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 136: Lacoste | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 137: LE LIS | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 138: LEGO | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 139: Liga Vitoria - Seguro de Viagem | Sim | R$ | Valor: 1.0 | Pontos: 10
Extraído 140: Liga Vitoria Consorcio | Sim | R$ | Valor: 1.0 | Pontos: 50
Extraído 141: Liga Vitoria Seguro Auto | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 142: Liga Vitoria Seguro de Vida | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 143: Liga Vitoria Seguro Moto | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 144: Liga Vitoria Seguro Residencial | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 145: LIVE! | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 146: Liz | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 147: Localiza | Não | U$ | Valor: 1.0 | Pontos: 5
Extraído 148: Localiza | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 149: Localiza Meoo | Sim | R$ | Valor: 1.0 | Pontos: 8
Extraído 150: Loccitane | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 151: Loccitane au Bresil | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 152: Lolita | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 153: Lord Perfumaria | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 154: Loungerie | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 155: Luck Receptivo (Salvador) | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 156: Luck Receptivo - Recife | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 157: Luck Receptivo Maceio | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 158: Luck Receptivo Natal | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 159: Luxury Loyalty | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 160: Madesa | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 161: Magalu | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 162: Malwee | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 163: MAPFRE Seguro Auto | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 164: Max Titanium | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 165: MaxRacer | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 166: MedSenior | Não | R$ | Valor: 1.0 | Pontos: 7
Extraído 167: Meia Sola | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 168: MeuCopo | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 169: Mevo Farma | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 170: Midea | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 171: Mistral | Sim | R$ | Valor: 1.0 | Pontos: 10
Extraído 172: Mizuno | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 173: Mobills | Não | R$ | Valor: 1.0 | Pontos: 10
Extraído 174: Mobly | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 175: Mondaine | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 176: Monica Sanches | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 177: Monte Carlo | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 178: Morana | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 179: Movida | Sim | R$ | Valor: 1.0 | Pontos: 8
Extraído 180: Mycon Consorcio Digital | Não | R$ | Valor: 1.0 | Pontos: 32
Extraído 181: Nars | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 182: Natura | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 183: Netshoes | Sim | R$ | Valor: 1.0 | Pontos: 10
Extraído 184: New Balance | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 185: Next Seguro Viagem | Não | R$ | Valor: 1.0 | Pontos: 7
Extraído 186: Nike | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 187: Nomad Trips | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 188: Nova Era | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 189: Nutty Bavarian | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 190: O Boticario | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 191: O.U.i Paris | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 192: Oceane | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 193: Oficina Reserva | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 194: Olympikus | Sim | R$ | Valor: 1.0 | Pontos: 10
Extraído 195: Ondas Praia Resort | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 196: Osklen | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 197: Oster | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 198: Oxford | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 199: Pado | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 200: Panvel | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 201: PerfectDraft (Ambev) | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 202: Pet Paluche | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 203: Pet Paluche Box | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 204: Petlove | Sim | R$ | Valor: 1.0 | Pontos: 12
Extraído 205: Petlove Saude | Não | R$ | Valor: 1.0 | Pontos: 6
Extraído 206: Petz | Sim | R$ | Valor: 1.0 | Pontos: 6
Extraído 207: Piatan Natural | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 208: PneuStore | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 209: Pontofrio | Sim | R$ | Valor: 1.0 | Pontos: 5
Extraído 210: Portal das Malas | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 211: Portallar | Sim | R$ | Valor: 1.0 | Pontos: 6
Extraído 212: Porto Faz | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 213: Posthaus | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 214: Prive Hoteis e Parques | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 215: Probiotica | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 216: Puket | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 217: Qcompra | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 218: Quem Disse, Berenice? | Sim | R$ | Valor: 1.0 | Pontos: 10
Extraído 219: Quero Passagem | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 220: Quero-Quero | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 221: Quintess | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 222: RDC Viagens | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 223: Re Petit | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 224: Renner | Sim | R$ | Valor: 1.0 | Pontos: 3
Extraído 225: Rentalcars | Não | U$ | Valor: 1.0 | Pontos: 6
Extraído 226: Rentcars | Sim | U$ | Valor: 1.0 | Pontos: 10
Extraído 227: Reserva | Sim | R$ | Valor: 1.0 | Pontos: 5
Extraído 228: Reservecar | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 229: Riachuelo | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 230: Richards | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 231: ropo®️ | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 232: Saint Paul | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 233: Salinas | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 234: Sam's Club | Não | R$ | Valor: 1.0 | Pontos: 14
Extraído 235: Sam's Club - E-commerce | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 236: Samsonite  | Sim | R$ | Valor: 1.0 | Pontos: 9
Extraído 237: Sebastian Coffee | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 238: Seculus | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 239: Seguro Residencial MAPFRE | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 240: Seguro Viagem Bradesco | Sim | R$ | Valor: 1.0 | Pontos: 15
Extraído 241: Sephora | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 242: Seus Ingressos | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 243: Shiseido | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 244: Shoestock | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 245: Shopee | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 246: Simple Organic | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 247: Sioux Seguro Celular | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 248: Sixt | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 249: Sottile | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 250: Speedo | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 251: Spicy | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 252: Studio Z | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 253: SulAmerica Plano Odonto | Sim | R$ | Valor: 1.0 | Pontos: 8
Extraído 254: SulAmerica Seguro Viagem | Não | R$ | Valor: 1.0 | Pontos: 6
Extraído 255: Summerville | Sim | R$ | Valor: 1.0 | Pontos: 4
Extraído 256: Supernosso | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 257: Tailors Mind  | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 258: Technos | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 259: Thule | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 260: Tia Sonia | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 261: TIM | Não | R$ | Valor: 1.0 | Pontos: 6
Extraído 262: Tokio Marine Seguros | Sim | R$ | Valor: 1.0 | Pontos: 12
Extraído 263: Top Moveis | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 264: Travelex | Sim | U$ | Valor: 1.0 | Pontos: 5
Extraído 265: TripChip | Sim | R$ | Valor: 1.0 | Pontos: 11
Extraído 266: Trocafy | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 267: Truss | Não | R$ | Valor: 1.0 | Pontos: 4
Extraído 268: Umbro | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 269: Under Armour | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 270: Unidas | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 271: Universal Assistance – Seguro Viagem | Sim | R$ | Valor: 1.0 | Pontos: 12
Extraído 272: Utilplast | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 273: Viacao Garcia | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 274: Viajar | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 275: Vivara | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 276: VR Collezioni | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 277: Vult | Sim | R$ | Valor: 1.0 | Pontos: 8
Extraído 278: Wise UP | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 279: Yvy | Não | R$ | Valor: 1.0 | Pontos: 3
Extraído 280: Zattini | Não | R$ | Valor: 1.0 | Pontos: 2
Extraído 281: Zee.Dog | Não | R$ | Valor: 1.0 | Pontos: 1
Extraído 282: Zissou | Não | R$ | Valor: 1.0 | Pontos: 3
Total de parceiros encontrados: 282
Arquivo /home/runner/work/livelo_scraper/livelo_scraper/livelo_parceiros.xlsx encontrado. Verificando dados existentes...
Não foram encontrados dados do dia 2025-05-14. Adicionando novos dados...
Dados salvos no arquivo: /home/runner/work/livelo_scraper/livelo_scraper/livelo_parceiros.xlsx
Cópia salva em: output/livelo_parceiros.xlsx
Encerrando driver do Selenium...
Driver encerrado com sucesso.
Encerramento completo.
Processo de scraping concluído com sucesso!
